title,price,link
Notebook LeNovo ThinkPad I5 *Leia descrição*,R$ 700,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/computadores-e-acessorios/notebook-lenovo-thinkpad-i5-leia-descricao-1163502208
Vendo um notebook ,R$ 400,https://ba.olx.com.br/grande-salvador/computadores-e-acessorios/vendo-um-notebook-1156323561
Notebook cce Intel Celeron/ 4Gb- Hd500Gb- todo bom,R$ 3.700,https://ba.olx.com.br/grande-salvador/computadores-e-acessorios/notebook-lenovo-1161564972
Notebook positivo dual,R$ 670,https://ba.olx.com.br/grande-salvador/computadores-e-acessorios/notebook-cce-intel-celeron-4gb-hd500gb-todo-bom-1164112583
Notebook ,R$ 1.500,https://ba.olx.com.br/grande-salvador/computadores-e-acessorios/notebook-positivo-dual-1158081065
Notebook Presario CQ-23,R$ 300,https://ba.olx.com.br/regiao-de-juazeiro-e-jacobina/computadores-e-acessorios/notebook-1143451108
Notebook Samsung ,R$ 950,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/computadores-e-acessorios/notebook-presario-cq-23-1157187745
Notebook asus,R$ 990,https://ba.olx.com.br/grande-salvador/computadores-e-acessorios/notebook-samsung-1163434477
Notebook Acer Aspire Nvidea mx350 i5 128gb SSD ,R$ 1.400,https://ba.olx.com.br/grande-salvador/computadores-e-acessorios/notebook-asus-1155563910
Notebook Multilaser  todo bom,R$ 2.700,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/computadores-e-acessorios/notebook-acer-aspire-nvidea-mx350-i5-128gb-ssd-1143380233
Notebook lenovo ideapad 330,R$ 700,https://ba.olx.com.br/grande-salvador/computadores-e-acessorios/notebook-multilaser-todo-bom-1163480263
Notebook Lenovo Ideapad S145,R$ 1.200,https://ba.olx.com.br/grande-salvador/computadores-e-acessorios/notebook-lenovo-ideapad-330-1155429088
